"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STAT21",0,1.40073591362409,0.642,0.123,0,"10","STAT2"
"CORO1C1",0,1.25624370472672,0.632,0.113,0,"10","CORO1C"
"SCFD13",0,1.29637870254142,0.726,0.207,0,"10","SCFD1"
"PTTG1IP2",0,0.582976864139863,0.681,0.162,0,"10","PTTG1IP"
"HIPK13",0,1.06948547560736,0.726,0.208,0,"10","HIPK1"
"MAP4K43",0,0.877886104305383,0.82,0.302,0,"10","MAP4K4"
"CDK191",0,1.3948586836831,0.671,0.153,0,"10","CDK19"
"IPCEF12",0,1.89309031916452,0.678,0.16,0,"10","IPCEF1"
"ARFGEF15",0,0.965482823462149,0.777,0.259,0,"10","ARFGEF1"
"IST12",0,0.814779170483663,0.73,0.212,0,"10","IST1"
"PAFAH1B13",0,0.701912070088788,0.828,0.31,0,"10","PAFAH1B1"
"ATP6V0A11",0,1.81323378216915,0.589,0.071,0,"10","ATP6V0A1"
"OSBPL112",0,1.30933695918665,0.639,0.122,0,"10","OSBPL11"
"ZFR6",0,1.18094720624087,0.739,0.222,0,"10","ZFR"
"PHIP3",0,0.97928079842107,0.794,0.277,0,"10","PHIP"
"ATP5MC25",0,0.791048681425719,0.972,0.455,0,"10","ATP5MC2"
"NBPF141",0,1.58100434890973,0.606,0.09,0,"10","NBPF14"
"IGF2R3",0,0.253884749415212,0.812,0.296,0,"10","IGF2R"
"ZNF385A1",0,2.16946466055536,0.578,0.062,0,"10","ZNF385A"
"CNOT24",0,1.00957071345861,0.745,0.229,0,"10","CNOT2"
"TYROBP3",0,0.634574039221839,0.999,0.483,0,"10","TYROBP"
"AZI2",0,2.02532202394137,0.614,0.099,0,"10","AZI2"
"DDX466",0,0.96182445801275,0.774,0.259,0,"10","DDX46"
"DOCK114",0,0.843824929514039,0.779,0.264,0,"10","DOCK11"
"NRIP1",0,1.95080031627251,0.626,0.111,0,"10","NRIP1"
"GRK23",0,0.546363634057133,0.752,0.237,0,"10","GRK2"
"CEP1701",0,1.50512562761659,0.635,0.121,0,"10","CEP170"
"SP34",0,0.736884658806057,0.792,0.278,0,"10","SP3"
"HMGB24",0,0.957404181414978,0.807,0.293,0,"10","HMGB2"
"SNF83",0,1.1871784325843,0.693,0.179,0,"10","SNF8"
"NLRP122",0,1.5407512670454,0.592,0.078,0,"10","NLRP12"
"KIAA09301",0,1.71564777297158,0.601,0.087,0,"10","KIAA0930"
"NDUFA135",0,0.924216101567956,0.933,0.42,0,"10","NDUFA13"
"UBE2L35",0,0.735068090412205,0.795,0.282,0,"10","UBE2L3"
"HLA-DMB1",0,1.90106032228603,0.613,0.1,0,"10","HLA-DMB"
"ABRACL5",0,0.889052530288338,0.759,0.246,0,"10","ABRACL"
"RAD23B4",0,0.721788060833933,0.79,0.277,0,"10","RAD23B"
"HVCN1",0,1.79189325754788,0.6,0.087,0,"10","HVCN1"
"TMED52",0,0.928837910579887,0.694,0.181,0,"10","TMED5"
"PTPN183",0,0.685697310203129,0.699,0.186,0,"10","PTPN18"
"RAC13",0,0.693026085360106,0.981,0.468,0,"10","RAC1"
"RASSF41",0,2.01255492072536,0.579,0.066,0,"10","RASSF4"
"TMPO3",0,1.43774424346448,0.715,0.202,0,"10","TMPO"
"ATP5PO5",0,0.813367222649774,0.827,0.314,0,"10","ATP5PO"
"CAPN25",0,0.750252550841156,0.756,0.244,0,"10","CAPN2"
"SENP66",0,0.847261106867963,0.793,0.281,0,"10","SENP6"
"MKLN14",0,0.928231460704818,0.761,0.249,0,"10","MKLN1"
"EXOC45",0,1.36911521811047,0.759,0.247,0,"10","EXOC4"
"RBMX5",0,0.864433556950151,0.792,0.28,0,"10","RBMX"
"PPFIA11",0,1.28066037006354,0.638,0.126,0,"10","PPFIA1"
"DYNLL13",0,0.649054592026448,0.877,0.365,0,"10","DYNLL1"
"TXNDC173",0,1.01208687717548,0.669,0.157,0,"10","TXNDC17"
"RALGAPA21",0,1.31362430415737,0.704,0.192,0,"10","RALGAPA2"
"ITSN24",0,0.798816003919728,0.811,0.3,0,"10","ITSN2"
"PSMD75",0,0.734890493222061,0.773,0.262,0,"10","PSMD7"
"NLRP16",0,0.884878763230163,0.764,0.253,0,"10","NLRP1"
"B4GALT52",0,1.06856440818576,0.657,0.146,0,"10","B4GALT5"
"BABAM24",0,1.46777419969028,0.717,0.206,0,"10","BABAM2"
"USP343",0,0.821746815583879,0.833,0.322,0,"10","USP34"
"BMP2K2",0,1.34813598034406,0.656,0.146,0,"10","BMP2K"
"PSMA74",0,0.8581399220339,0.951,0.441,0,"10","PSMA7"
"KDELR13",0,1.00607082860242,0.697,0.187,0,"10","KDELR1"
"TSPO3",0,1.18865751976561,0.995,0.485,0,"10","TSPO"
"COX5A4",0,0.837814650168025,0.796,0.287,0,"10","COX5A"
"VAMP53",0,1.19360922053809,0.738,0.229,0,"10","VAMP5"
"NDUFB34",0,0.932753167662058,0.716,0.207,0,"10","NDUFB3"
"RIC13",0,1.51136268363103,0.666,0.157,0,"10","RIC1"
"PRCP",0,1.46639833738516,0.619,0.11,0,"10","PRCP"
"ACTN43",0,0.522345800205245,0.728,0.219,0,"10","ACTN4"
"CCT85",0,1.19910310222648,0.721,0.212,0,"10","CCT8"
"DENND101",0,1.32458852915514,0.622,0.113,0,"10","DENND10"
"PHACTR23",0,1.42295062115247,0.698,0.189,0,"10","PHACTR2"
"OXR12",0,1.64440674294061,0.653,0.145,0,"10","OXR1"
"SGMS12",0,1.63383136259625,0.662,0.154,0,"10","SGMS1"
"NORAD4",0,0.710706407815928,0.707,0.199,0,"10","NORAD"
"CSF1R1",0,2.66111014974721,0.552,0.045,0,"10","CSF1R"
"CPEB41",0,0.465658974563939,0.676,0.169,0,"10","CPEB4"
"NSD15",0,0.919066890178509,0.737,0.23,0,"10","NSD1"
"EFR3A4",0,1.26813652153419,0.7,0.193,0,"10","EFR3A"
"ACTR34",0,0.784087304704564,0.977,0.471,0,"10","ACTR3"
"SMIM14",0,1.55819460567935,0.612,0.106,0,"10","SMIM14"
"TLR81",0,1.65814531993026,0.566,0.06,0,"10","TLR8"
"DRAM11",0,2.18709462528281,0.57,0.064,0,"10","DRAM1"
"RTF16",0,0.610578149647639,0.761,0.255,0,"10","RTF1"
"ITGAL3",0,0.693798186190195,0.789,0.283,0,"10","ITGAL"
"RBIS4",0,1.21122514827828,0.714,0.208,0,"10","RBIS"
"STAG14",0,0.973441774635118,0.811,0.306,0,"10","STAG1"
"LPP4",0,1.07492336889946,0.801,0.296,0,"10","LPP"
"AURKAIP14",0,0.762425891078899,0.766,0.261,0,"10","AURKAIP1"
"FBXO112",0,0.949227574001442,0.745,0.24,0,"10","FBXO11"
"SPOPL1",0,1.03395680109155,0.644,0.139,0,"10","SPOPL"
"PPP2CA5",0,0.747248615372739,0.753,0.248,0,"10","PPP2CA"
"OOEP2",0,1.32956578029579,0.666,0.161,0,"10","OOEP"
"MARCHF74",0,0.848160445190972,0.738,0.233,0,"10","MARCHF7"
"FYB15",0,1.34477494922384,0.996,0.491,0,"10","FYB1"
"TOMM65",0,0.999712430739694,0.813,0.308,0,"10","TOMM6"
"ATP6V1E12",0,0.857735191096085,0.679,0.175,0,"10","ATP6V1E1"
"PSMB22",0,1.10975918800376,0.679,0.176,0,"10","PSMB2"
"SARNP3",0,1.18643713670121,0.679,0.176,0,"10","SARNP"
"DDT5",0,0.791342797573302,0.792,0.289,0,"10","DDT"
"SETD23",0,0.900947726772157,0.779,0.276,0,"10","SETD2"
"ME23",0,1.26785868946674,0.65,0.147,0,"10","ME2"
"ARID3A1",0,1.34747342720021,0.592,0.089,0,"10","ARID3A"
"IFI27L24",0,0.800401424044812,0.698,0.195,0,"10","IFI27L2"
"ARIH15",0,0.863350537674954,0.813,0.31,0,"10","ARIH1"
"STX84",0,1.41524368111108,0.694,0.191,0,"10","STX8"
"SMARCD31",0,1.87428011345281,0.561,0.059,0,"10","SMARCD3"
"FRAT22",0,0.426627420764733,0.657,0.155,0,"10","FRAT2"
